,,,Monthly Chemical Report,,,Report Location,O&M/02/26/01,,,,,,,,,,,,,,,,,,
,,,,,,Report No.,2026/05/R0,,,,,,,,,,,,,,,,,,
,,,31-May-26,,,Prepared By,Pubudu Hettiarachchi,,,,,,,,,,,,,,,,,,
,,,,,,Designation,MS,,,,,,,,,,,,,,,,,,
Area,No,Chemicals,Chemical Type,Package Size,"Chemical Stock
31st of May","May
Consumption",Chemical Cost for April,,,,,,,,,,,,,,,,,,
,,,,kg,kg,kg,1kg price (LKR),Total price,,,,,,,,,,,,,,,,,
,13,Citric Acid,pH Adjustment,25,14.49,,,-,,,,,,,,,,,,,,,,,
DM Plant,14,NaOH 50%,pH Booster,1000,1865.85,423,122,"51,606.00",,,,,,,,,,,,,,,,,
,15,HCl 30%,pH Reduction,1000,1793.3,115.9,55,"6,374.50",,,,,,,,,,,,,,,,,
Aux Boiler,16,Maxgreen 3266,Oxygen Scavenger,35,148.8,9.87,"5,180.00","51,100.70",,,,,,,,,,,,,,,,,
,17,Maxtreat 3223 SR,Internal Treatment,25,205.31,3.88,"2,600.00","10,075.00",,,,,,,,,,,,,,,,,
,18,Maxtreat 3006,Internal Treatment,35,52.53,6.67,"2,050.00","13,679.65",,,,,,,,,,,,,,,,,
,19,Maxtreat 3311 SR,Alkalinity Builder,30,94.82,2.32,"3,140.00","7,269.10",,,,,,,,,,,,,,,,,
CCW,20,Nalco 1250,Corrosion Inhibitor,25,534.55,11.85,"1,110.46","13,158.95",,,,,,,,,,,,,,,,,
HRSG,21,Ammonia 25%,Condensate pH Treatment,200,827.82,323.18,285.58,"92,293.74",,,,,,,,,,,,,,,,,
,22,Nalco 444,Scale Control HP/LP Boiler,25,193.26,24.2,"2,031.55","49,163.51",,,,,,,,,,,,,,,,,
Cooling Tower,23,Nalco 7342,Non-Oxidizing Biocide,27,162,216,"1,166.56","251,976.96",,,,,,,,,,,,,,,,,
,24,Nalco 3DT 413,Antiscalant (Trasar unit),28,28,364,946.81,"344,638.84",,,,,,,,,,,,,,,,,
,25,Nalco 3DT 304,Corrosion Inhibitor (Trasar unit),22,207.85,,,-,,,,,,,,,,,,,,,,,
,,,,,Total Chemical Cost (LKR),,,"1,219,698.53",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
